Sales Doc;Item;Material;Material entered;Matl Group;Description;ItCa;DlI;BilRl;Rj;Product hierarchy;UoM;Conversion factor;BUn;POitem;Customer Material Number;Usage;Overdel Tol;Underdel Tol;Dv;BusA;Prb;Net value;Curr;Order Quantity;Required deliv qty;Cumul confirmed qty;SU;Gross weight;Net weight;WUn;U;ComRl;DPrio;Plnt;ShPt;Route;Created on;Created by;Time;BOM key dt;Net price;per;UoM;Ret;AAG;OK;Cost;Value of invgross;Value w/o freight;Value of all bills;Freight cost;Subtotal 5;Bonus paid;Chngd on;Profit Ctr;MG 2;MG 3;MG 4;MG 5;Reasn;S;Credit price;Credit active;Exch rate;MPr;PrCat;Cost Est No;Costing Variant;Tax amount;Distance;Dis;Order Reason;Supplying plant;Minimum Quantity;Maximum Quantity;Max load size;Min load size;First Load
3405001;10;000000000056094238;000000000068349350;058193;hid what headphones is trying suspense;pw15;;A;;410712731797;MIN;1;MIN;000010;assert died secretly came smoke;B0B;2;2;70;6704;70;76.300,42;GBP;451,300;451,300;451,300;MIN;0,000;0,000;TO;X;B;3;6704;6704;GB2234;2014-05-15;Suarez.Erika;01:00:00;;56,67;60;MIN;;82;;33919.18;7.205,11;2.280,03;6,91;76.300,42;21.655,10;14.877,83;2128-06-30;0604864191;;;;B00;;;101,10;X;1;;V;103392398;PPC4;15.260,08;12,173;KM;01;;23,502;7,957;4,299;0,643;2014-05-15
3405001;20;000000000056094238;000000000068349350;058193;hid what headphones is trying suspense;pw15;;A;;410712731797;M3;1;M3;000020;assert died secretly came smoke;B0B;4;4;30;9495;70;76.300,42;EUR;425,200;425,200;425,200;M3;977,960;977,960;TO;;;3;9495;9495;GB2234;2128-01-10;Blanchard.Jody;01:00:00;;239,96;1;M3;;82;;25034.99;7.314,42;3.331,35;6,86;76.300,42;19.047,69;13.916,94;2242-01-28;0518971956;;;;B00;;;104,73;X;1;;;115674008;PPC4;15.260,08;7,842;KM;03;;11,089;18,534;5,950;0,370;2128-01-10
3405001;30;000000000056094238;000000000068349350;058193;hid what headphones is trying suspense;pw15;X;A;;410712731797;M3;1;M3;000030;assert died secretly came smoke;B0B;3;3;60;9495;70;76.300,42;GBP;523,700;523,700;523,700;M3;0,524;0,524;KG;;B;3;9495;9495;GB0263;2128-02-07;Ballard.Rocky;01:00:00;;119,87;1;M3;;82;;24994.81;7.190,47;3.497,75;6,89;76.300,42;30.390,99;13.638,80;2242-02-28;0604864191;B24;;;B68;;;0,13;X;1;;;105990145;PPC4;15.260,08;7,327;KM;03;;22,465;21,980;8,479;0,880;2128-02-10
3405001;40;000000000056094238;000000000068349350;058193;hid what headphones is trying suspense;pw15;X;A;;410712731797;MIN;1;MIN;000040;assert died secretly came smoke;B0B;2;2;50;4730;70;76.300,42;EUR;489,300;489,300;489,300;MIN;0,489;0,489;KG;;B;3;4730;4730;GB4321;2128-03-08;Ballard.Rocky;01:00:00;;14,23;60;MIN;;16;;25552.13;7.685,00;3.766,86;6,97;76.300,42;36.313,65;13.345,27;2242-02-04;0629600233;B24;B21;;B00;;;47,29;X;1;A;;120060962;PPC4;15.260,08;19,983;KM;02;;20,479;7,940;3,324;0,636;2128-03-08
3405001;50;000000000059835141;000000000074212066;055359;on it good numbers sidekick while;yp17;;A;;410712731797;MIN;1;MIN;000050;had to the magnetic assert came;B0B;3;3;80;1729;70;76.300,42;US;411,900;411,900;411,900;MIN;0,412;0,412;KG;;B;3;1729;1729;GB9272;2128-02-14;Ballard.Rocky;01:00:00;;-49,67;60;MIN;;16;;30210.89;7.451,44;4.047,36;6,94;76.300,42;30.742,58;13.752,88;2242-02-12;0451115768;;B69;;B00;ZGB1;;137,81;X;1;A;V;0;;15.260,08;13,825;MI;02;;25,865;12,302;8,764;0,039;2128-02-20
3405001;60;000000000059835141;000000000074212066;055359;on it good numbers sidekick while;yp17;;A;;410712731797;M3;1;M3;000060;had to the magnetic assert came;B0B;1;1;60;1987;70;76.300,42;GBP;362,700;362,700;362,700;M3;834,210;834,210;TO;;;3;1987;1987;GB0263;2128-01-06;Ballard.Rocky;01:00:00;;144,71;1;M3;;52;;35291.83;5.651,86;3.391,25;6,90;76.300,42;24.036,19;14.972,92;2241-10-24;0156707857;;B69;;B00;;;71,48;X;1;;V;0;;15.260,08;16,485;MI;02;;17,075;19,577;6,697;-0,039;2128-01-06
3405001;70;000000000059835141;000000000074212066;055359;on it good numbers sidekick while;yp17;;;;253387874005;TO;1;TO;000070;had to the magnetic assert came;B0B;8;8;30;7876;70;76.300,42;US;464,200;464,200;464,200;TO;464,200;464,200;TO;;;3;7876;7876;GB9272;2128-03-16;Ballard.Rocky;01:00:00;;84,33;1;TO;;52;;24137.23;7.639,24;4.146,84;6,97;76.300,42;36.703,14;14.599,70;2242-04-08;0604864191;;B00;;B00;;;114,64;X;1;;V;114317287;PPC4;15.260,08;-1,577;MI;02;;19,012;15,152;6,568;0,493;2128-03-21
3405001;80;000000000074343574;000000000079549185;048320;red demanded sits took sits to;ib20;;A;;253387874005;KG;1;KG;000080;ill people we what hatch assert;B0B;0;0;0;7876;70;76.300,42;EUR;225,700;225,700;225,700;KG;225,700;225,700;KG;X;;3;7876;7876;GB2234;2128-01-11;Ballard.Rocky;01:00:00;;230,99;1;KG;;52;;32043.79;6.863,45;3.670,04;6,96;76.300,42;30.354,86;14.712,94;2241-12-20;0604864191;;B00;;B04;;;13,68;X;1;A;V;108602855;PPC4;15.260,08;9,340;MI;01;;23,800;18,486;9,983;0,320;2128-01-16
3405001;90;000000000074343574;000000000079549185;048320;red demanded sits took sits to;ib20;;A;;253387874005;TO;1;TO;000090;ill people we what hatch assert;B0B;-1;-1;40;7302;70;76.300,42;US;368,300;368,300;368,300;TO;368,300;368,300;TO;X;;3;7302;7302;GB1299;2128-01-13;Ballard.Rocky;01:00:00;;197,87;1;TO;;74;;30208.32;6.217,63;2.633,02;6,90;76.300,42;39.468,49;12.984,64;2241-10-30;0605788397;;B21;;B04;;;83,33;X;1;A;;0;;15.260,08;19,508;KM;01;;14,217;9,669;2,587;0,441;2128-01-13
3405002;100;000000000074343574;000000000079549185;048320;red demanded sits took sits to;ib20;X;A;;253387874005;MIN;1;MIN;000100;ill people we what hatch assert;B0B;-4;-4;30;7302;50;80.734,42;EUR;475,200;475,200;475,200;MIN;0,000;0,000;TO;X;;3;7302;7302;GB4844;2127-12-14;Ballard.Rocky;01:00:00;;24,71;60;MIN;;51;;33501.26;7.143,73;3.146,26;6,92;80.734,42;31.998,46;15.440,70;2241-11-18;0215867472;;B21;;B32;ZGB1;;207,64;X;1;;E;108839078;PPC4;16.146,88;7,352;MI;02;;17,295;24,210;7,503;0,836;2127-12-14
3405002;110;000000000074343574;000000000079549185;048320;red demanded sits took sits to;ib20;;;;253387874005;MIN;1;MIN;000110;ill people we what hatch assert;B0B;0;0;50;7302;50;80.734,42;EUR;338,100;338,100;338,100;MIN;0,000;0,000;TO;;;3;7302;7302;GB1299;2128-01-26;Wilkins.Dawn;01:00:00;;-33,12;60;MIN;;84;;26923.2;6.536,85;3.385,94;6,88;80.734,42;16.357,20;13.845,90;2242-01-14;0215867472;B13;;;B68;;;69,07;X;1;A;E;105168633;PPC4;16.146,88;7,008;KM;03;;23,154;13,019;4,808;0,612;2128-01-28
3405002;120;000000000074343574;000000000079549185;048320;red demanded sits took sits to;ib20;;C;;253387874005;M3;1;M3;000120;ill people we what hatch assert;B0B;4;4;60;7302;50;80.734,42;EUR;414,000;414,000;414,000;M3;0,414;0,414;KG;X;B;3;7302;7302;GB4321;2128-02-02;Baker.Dawn;01:00:00;;-65,24;1;M3;;16;;25042.95;6.076,72;5.182,45;6,93;80.734,42;35.117,57;11.971,42;2241-11-20;0255962953;B13;B54;;B68;ZGB1;;130,93;X;1;;;0;;16.146,88;8,786;KM;02;;10,548;22,504;7,844;0,463;2128-02-07
3405002;130;000000000074343574;000000000079549185;048320;red demanded sits took sits to;ib20;;C;;253387874005;M3;1;M3;000130;ill people we what hatch assert;B0B;4;4;50;2370;50;80.734,42;GBP;270,200;270,200;270,200;M3;621,460;621,460;TO;;;3;2370;2370;GB8583;2128-02-18;Baker.Dawn;01:00:00;;-1,23;1;M3;;30;;31795.82;8.740,86;3.137,08;6,93;80.734,42;28.585,58;16.288,87;2242-01-28;0255962953;;;;B59;;;75,35;X;1;;;0;;16.146,88;5,930;KM;03;;11,980;23,863;9,214;0,509;2128-02-22
3405002;140;000000000041420588;000000000067235933;007478;world discovered boon in hot the;ap07;;C;;253387874005;M3;1;M3;000140;have ends want sill or maybe room;B0B;2;2;50;6462;50;80.734,42;GBP;449,900;449,900;449,900;M3;1.034,770;1.034,770;TO;X;B;3;6462;6462;GB1299;2128-01-11;Baker.Dawn;01:00:00;;34,57;1;M3;;82;;33895.92;7.229,40;3.634,05;6,91;80.734,42;27.604,54;14.018,04;2241-12-09;0617070113;;;;B64;;;74,64;X;1;;;0;;16.146,88;3,943;MI;01;;15,518;18,581;-0,824;0,191;2128-01-19
3405002;150;000000000041420588;000000000067235933;007478;world discovered boon in hot the;ap07;;C;;913464870535;KG;1;KG;000150;have ends want sill or maybe room;B0B;-3;-3;50;4478;50;80.734,42;GBP;543,400;543,400;543,400;KG;0,543;0,543;TO;X;;3;4478;4478;GB6873;2128-12-31;Cote.Joseph;01:00:00;;-126,29;1;KG;;52;;34546.17;6.893,80;4.800,38;6,90;80.734,42;18.379,51;14.415,15;2241-10-16;0623147794;;;;B64;;;-37,37;X;1;A;D;101062223;PPC4;16.146,88;2,898;MI;01;;24,794;15,050;8,675;0,766;2128-12-31
3405002;160;000000000031587328;000000000061426387;002785;room others text generated monster;xj90;;C;;913464870535;TO;1;TO;000160;a keys hid something do the wicket;B0B;7;7;80;4478;50;80.734,42;GBP;328,800;328,800;328,800;TO;328.800,000;328.800,000;KG;;;3;4478;4478;GB0622;2128-01-08;Cote.Joseph;01:00:00;;191,99;1;TO;;90;;33827.79;5.329,39;3.744,31;6,89;80.734,42;29.748,98;14.734,50;2242-02-02;0604864191;B57;;;B12;ZGB1;;117,08;X;1;A;;0;;16.146,88;15,735;KM;02;;25,802;16,547;4,082;0,511;2128-01-09
3405003;170;000000000062305357;000000000069452866;004946;died through throw others what;we17;;C;;384071289184;M3;1;M3;000170;hold they with no ill to dad on;B0B;1;1;80;4478;100;95.733,90;GBP;459,000;459,000;459,000;M3;0,459;0,459;KG;;;3;4478;4478;GB5588;2128-01-25;Cote.Joseph;01:00:00;;168,30;1;M3;;62;;24467.01;7.842,50;4.087,23;6,93;95.733,90;26.486,70;13.878,07;2242-01-09;0255862633;;;;B12;;;50,70;X;1;A;;0;;19.146,78;13,417;MI;02;;14,865;17,298;3,512;0,335;2128-01-31
3405003;180;000000000018397898;000000000062040606;055407;probably pique red leader days;ju58;;C;;384071289184;KG;1;KG;000180;to worn sacrifice end died trying;B0B;-3;-3;20;9905;100;95.733,90;GBP;277,000;277,000;277,000;KG;277,000;277,000;KG;X;;3;9905;9905;GB8583;2128-03-16;Cote.Joseph;01:00:00;;20,99;1;KG;;61;;28353.05;6.826,77;3.820,39;6,90;95.733,90;33.111,64;13.649,79;2242-02-02;0003836493;;;;B40;;;-0,53;X;1;A;;0;;19.146,78;-2,321;MI;01;;19,489;19,407;8,146;0,424;2128-03-16
3405004;190;000000000076443110;000000000073623171;040459;wicket light in end out as much;zf64;;A;;384071289184;M3;1;M3;000190;else visions came assert white;B0B;-6;-6;10;3175;80;120.304,40;EUR;392,400;392,400;392,400;M3;902,520;902,520;TO;;B;3;3175;3175;GB4321;2128-04-01;Cote.Joseph;01:00:00;;59,97;1;M3;;61;;30194.0;6.317,68;4.221,27;6,89;120.304,40;30.457,49;14.216,55;2242-03-19;0201346319;;;B27;B40;ZGB1;;163,57;X;1;;;0;;24.060,88;7,827;KM;02;;9,887;19,490;7,981;0,424;2128-04-03
3405004;200;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;C;;384071289184;KG;1;KG;000200;;B0B;-9;-9;10;5656;80;120.304,40;GBP;417,300;417,300;417,300;KG;417,300;417,300;KG;;;3;5656;5656;GB2234;2128-01-18;Cote.Joseph;01:00:00;;119,77;1;KG;;13;;31672.07;6.482,90;3.040,35;6,97;120.304,40;30.185,33;14.436,38;2241-01-02;0986319638;;;;B40;;;26,37;X;1;;;0;;24.060,88;11,583;KM;02;;18,524;14,612;5,149;0,346;2128-01-20
