DOC_NUMBER;QUOT_FROM;DOC_TYPE;ORD_REASON;QUOT_TO;COMP_CODE;BILL_BLOCK;LOC_CURRCY;SOLD_TO;RATE_TYPE;GN_CUSTOM;CUST_GRP1;CUST_GRP2;CUST_GRP3;CUST_GRP4;CUST_GRP5;DEL_BLOCK;STAT_CURR;DOC_CATEG;DOC_CATEGR;SALES_OFF;SALES_GRP;SALESORG;DISTR_CHAN;CREATEDON;DOC_CURRCY;SALESEMPLY;DIV_HEAD;REQ_DATE;FISCVARNT;ORDERS
3405000;2013-06-11;ZDMS;ZV7;9999-12-31;RO60;G0;KZT;1037696120;;SOCIALCIRCLE-ENGINEERING;;;;;;;EUR;C;;DE01;22;PL10;1;2013-07-04;;;40;;K4;7
3405001;2013-01-30;ZWE;ZV7;9999-12-31;RO60;G0;KZT;1037696120;;LITHONIA-MANUFACTURING;103;;;;;;KZT;B;;PLO9;;RO30;1;2013-07-04;;;40;;K4;8
3405002;2013-06-20;ZWE;ZV7;9999-12-31;BE10;G0;KZT;1037696120;KZ;CONYERS-REALTY;;;;;;;KZT;B;;PLF3;;RU10;1;2013-07-04;;;40;;K4;8
3405003;2013-06-20;YO13;ZV7;9999-12-31;BE10;G0;KZT;1037696120;;WARRENTON-MOTORSERVICES;;2;;;;;KZT;C;;PLO2;;RU10;1;2013-07-04;;;40;;K4;8
3405004;2013-06-21;YO13;ZV7;9999-12-31;RU10;G0;KZT;1037696120;;JESUP-FURNISHINGS;;;;;;;KZT;B;;DE30;;SE10;1;2013-07-04;;;10;;K4;4
3405005;2013-06-21;YO13;ZV7;9999-12-31;RO10;G0;KZT;1037696120;KZ;CHAUNCEY-REALTY;;;;;;;KZT;B;;PLPA;20;SE10;1;2013-07-04;;;30;;K4;7
3405006;2013-06-21;YO13;ZV7;9999-12-31;RO60;G0;KZT;1037696120;;MONTICELLO-DEVELOPMENT;;;;;;;KZT;L;;PLL0;212;10;1;2013-07-04;;;30;;K4;3
3405007;2013-06-21;ZWE;ZV7;9999-12-31;RO60;G0;KZT;1037696120;;OMEGA-TEXTILES;;;;;;;KZT;G;;;;10;1;2013-07-04;;;80;;K4;8
3405008;2013-06-21;ZSAN;B02;9999-12-31;RO60;G0;UAH;1037696120;;SENOIA-INDUSTRIES;;;;;;;KZT;L;;GB10;21;10;1;2013-07-04;;;40;;K4;7
3405009;2013-06-21;ZDMS;B02;9999-12-31;RO30;G0;UAH;1037696120;M;KENNESAW-INSURANCE;;;;;;;UAH;B;;;;10;1;2013-07-04;;;40;;K4;2
3405010;2013-01-20;ZDMS;B02;9999-12-31;RO30;G0;UAH;1037696120;;AUGUSTA-RICHMONDCOUNTY-OFFICESUPPLIES;;;;;;;UAH;G;;;22;10;1;2013-07-04;;;40;;K4;6
3405011;2013-01-20;ZSE2;B01;9999-12-31;RO30;G0;UAH;1037696120;M;OCHLOCKNEE-CAFE;;;;;;;UAH;G;;GB10;;RO60;1;2013-07-04;;;40;;K4;7
3405012;2013-01-20;ZSE2;B02;9999-12-31;RO30;G0;UAH;1037696120;M;PERRY-OFFICESUPPLIES;104;;;;;;UAH;H;;;;RO60;1;2013-07-04;;;40;;K4;7
3405013;2013-05-25;ZSE2;ZV6;9999-12-31;RO30;G0;UAH;1037696120;;DARIEN-BAKERY;;;;;;;UAH;B;;;;RO60;1;2013-04-17;;;40;;K4;3
3405014;2013-05-25;ZSE2;B01;9999-12-31;GB30;G0;UAH;1037696120;;UNIONCITY-REALTY;;1;;;;;UAH;C;;PLH4;29;RO60;1;2013-04-17;;;40;;K4;7
3405015;2013-05-25;ZSE2;ZV7;9999-12-31;GB30;G0;UAH;1037696120;;COUNCIL-MOTORS;;;;;;ZG;UAH;L;;;211;RO60;1;2013-04-17;;;40;;K4;4
3405016;2013-05-25;ZSE2;ZV7;9999-12-31;SE10;G0;UAH;1037696120;;VILLARICA-SERVICES;;;;;;;UAH;G;;GB10;;RO60;1;2013-04-17;;;40;;K4;8
3405017;2013-05-25;YO11;B01;9999-12-31;140;G0;UAH;1037696120;M;QUITMAN-REALTY;;;;;;;RON;L;;PLA6;;RO60;1;2013-04-17;;;40;;K4;8
3405018;2013-05-25;ZWES;B01;9999-12-31;140;G0;UAH;1037696120;M;POULAN-MANUFACTURING;;;;;;;RON;H;;;;RO60;1;2013-04-17;;;40;;K4;5
3405019;2013-05-25;ZSAS;B01;9999-12-31;RO60;G0;UAH;1037696120;KZ;INAHA-MOTORSERVICES;;;;;;;UAH;L;;PLLU;22;RO60;1;2013-04-17;;;40;;K4;8
3405020;2013-05-25;ZSAS;B01;9999-12-31;PL10;G0;UAH;1037696120;;LAWRENCEVILLE-ENGINEERING;;3;;;;;UAH;L;;PLAL;;RO60;1;2013-04-17;;;40;;K4;5
3405021;2013-10-28;ZWES;B01;9999-12-31;RU10;G0;UAH;1037696120;;DAISY-INDUSTRIES;;;;;;;UAH;C;;PLLK;;RO60;1;2013-04-17;;;40;;K4;8
3405022;2013-10-28;ZSI;B01;9999-12-31;KZ10;G0;KZT;1037696120;;VALONA-STUDIOS;;;;;;;UAH;G;;;;RO60;1;2013-04-17;;;30;;K4;7
3405023;2013-10-28;ZSI;B01;9999-12-31;KZ10;G0;KZT;1037696120;;FRUITLAND-MOTORSERVICES;102;;;;;;KZT;L;;PLF3;24;RO60;1;2013-11-05;;;30;;K4;2
3405024;2013-10-28;YO03;B01;9999-12-31;KZ10;G0;KZT;1037696120;;POWDERSPRINGS-SOFTWARE;;;;;;;KZT;G;;PLF4;;RO60;1;2013-11-05;;;30;;K4;4
