BILL_NUM;BILL_TYPE;BILL_CAT;BILL_DATE;COMP_CODE;CREATEDON;BIL_H_CNT;GN_CUSTOM;CUST_GROUP;DISTR_CHAN;DOC_CATEG;DOC_CURRCY;EXRATE_ACC;FISCVARNT;GN_R3_SSY;LOC_CURRCY;PAYER;RATE_TYPE;RECORDMODE;SALESEMPLY;SALESORG;SALES_DIST;SOLD_TO;STAT_CURR
140500;M;I;2013-01-12;700;2013-08-06;9;SOCIALCIRCLE-ENGINEERING;C5;1;L;SEK;;K4;;RON;16257677;160732426;;;;1;SP1;PLN
140501;KZ;I;2013-06-24;200;2013-11-22;2;CONYERS-REALTY;C3;1;L;KZT;;K4;;SEK;16257677;226789158;;;;1;SP9;SEK
140502;KZ;I;2013-06-24;700;2013-11-22;8;WARRENTON-MOTORSERVICES;C6;1;C;KZT;;K4;;KZT;16257677;226789158;;;;1;SP9;SEK
140503;M;I;2013-11-20;100;2013-11-22;8;JESUP-FURNISHINGS;C3;1;C;GEL;;K4;;KZT;16257677;226789158;;;;1;SP9;KZT
140504;KZ;I;2013-11-20;200;2013-11-22;9;CHAUNCEY-REALTY;C1;1;C;GEL;;K4;;GEL;21151067;188622513;;;;1;SP2;GEL
140505;KZ;I;2013-08-25;700;2013-11-22;6;MONTICELLO-DEVELOPMENT;C5;1;C;GEL;;K4;;GEL;21151067;168831452;;;;1;SP2;GEL
140506;M;I;2013-08-25;300;2013-11-22;1;OMEGA-TEXTILES;C3;1;C;GEL;;K4;;GEL;21151067;168831452;;;;1;SP2;RON
140507;KZ;I;2013-08-25;400;2013-01-13;1;SENOIA-INDUSTRIES;C6;1;C;GEL;;K4;;GEL;21151067;168831452;;;;1;SP2;GEL
140508;KZ;I;2013-01-28;300;2013-01-13;1;KENNESAW-INSURANCE;C7;1;C;SEK;;K4;;GEL;21873378;155038733;;;;1;SP13;GEL
140509;KZ;I;2013-09-23;100;2013-01-13;4;AUGUSTA-RICHMONDCOUNTY-OFFICESUPPLIES;C5;9;H;SEK;;K4;;SEK;21873378;135026320;;;;1;SP13;KZT
140510;M;I;2013-09-23;700;2013-01-13;5;OCHLOCKNEE-CAFE;C5;1;H;SEK;;K4;;SEK;21873378;151412542;;;;1;SP13;SEK
140511;KZ;I;2013-09-23;700;2013-01-13;1;PERRY-OFFICESUPPLIES;C5;9;H;EUR;;K4;;SEK;21873378;151412542;;;;1;SP13;RON
140512;M;I;2013-09-23;200;2013-08-01;3;DARIEN-BAKERY;C3;1;G;EUR;;K4;;EUR;20629215;210340550;;;;1;SP9;EUR
140513;M;I;2013-09-23;400;2013-08-01;5;UNIONCITY-REALTY;C2;1;G;EUR;;K4;;EUR;20629215;210340550;;;;1;SP11;RON
140514;M;I;2013-06-01;100;2013-08-01;8;COUNCIL-MOTORS;C1;1;G;RON;;K4;;EUR;20629215;122140498;;;;1;SP3;EUR
140515;M;I;2013-07-29;800;2013-08-01;5;VILLARICA-SERVICES;C1;1;G;RON;;K4;;RON;20629215;122140498;;;;1;SP1;RON
140516;KZ;I;2013-08-20;800;2013-02-15;6;POULAN-MANUFACTURING;C1;1;G;RON;;K4;;RON;20629215;226680844;;;;1;SP9;RON
140517;KZ;I;2013-09-01;300;2013-02-15;1;INAHA-MOTORSERVICES;C8;1;G;RON;;K4;;RON;20629215;226680844;;;;1;SP11;RON
140518;KZ;I;2013-09-13;400;2013-02-15;5;LAWRENCEVILLE-ENGINEERING;C3;1;B;RON;;K4;;RON;20629215;148160792;;;;1;SP6;RON
140519;KZ;I;2013-05-23;500;2013-02-15;4;VALONA-STUDIOS;C4;1;B;RON;;K4;;RON;10285386;148160792;;;;1;SP6;RON
140520;KZ;I;2013-09-29;300;2013-02-15;6;FRUITLAND-MOTORSERVICES;C2;1;L;RON;;K4;;RON;27471161;191356382;;;;1;SP2;GBP
140521;KZ;I;2013-10-23;300;2013-02-15;4;POWDERSPRINGS-SOFTWARE;C2;1;L;EUR;;K4;;RON;27471161;191356382;;;;1;SP2;RON
140522;M;I;2013-10-23;400;2013-02-15;1;LOCUSTGROVE-REALTY;C1;1;L;EUR;;K4;;EUR;27471161;187424091;;;;1;SP11;GEL
