BILL_NUM;BILL_ITEM;BILL_TYPE;BILL_CAT;BILL_DATE;BILL_RULE;BILL_QTY;BASE_UOM;BATCH;BILLTOPRTY;COMP_CODE;COST;COSTCENTER;CO_AREA;CREATEDON;BIL_I_CNT;BWAPPLNM;CH_ON;DISTR_CHAN;DIVISION;DIV_HEAD;CSHDSC_BAS;GN_CUSTOM;CUST_GROUP;CUST_GRP1;CUST_GRP2;CUST_GRP3;CUST_GRP4;CUST_GRP5;DENOMINTR;DOC_CATEG;DOC_CURRCY;EANUPC;EXCHG_RATE;EXCHG_STAT;EXRATEXACC;EXRATE_ACC;FISCVARNT;GN_R3_SSY;GROSS_VAL;GRS_WGT_DL;INV_QTY;ITEM_CATEG;ITM_TYPE;LOC_CURRCY;MATERIAL;MATL_GROUP;MATL_GRP_1;MATL_GRP_2;MATL_GRP_3;MATL_GRP_4;MATL_GRP_5;MAT_ENTRD;NETVAL_INV;NET_WGT_DL;NO_INV_IT;NUMERATOR;PAYER;PLANT;PRICE_DATE;PROCESSKEY;PROD_HIER;PROV_GROUP;RATE_TYPE;REBATE_BAS;REBATE_GRP;RECORDMODE;REFER_DOC;REFER_ITM;REQ_QTY;RT_PROMO;SALESDEAL;SALESEMPLY;SALESORG;SALES_DIST;SALES_GRP;SALES_OFF;SALES_UNIT;SCALE_QTY;SERV_DATE;SHIP_POINT;SHIP_TO;SOLD_TO;STAT_CURR;STAT_DATE;STOR_LOC;ST_UP_DTE;SUBTOTAL_1;SUBTOTAL_2;SUBTOTAL_3;SUBTOTAL_4;SUBTOTAL_5;SUBTOTAL_6;TAX_AMOUNT;TRANS_DATE;UNIT_OF_WT;VOLUMEUNIT;VOLUME_DL;WBS_ELEMT
140500;10;M;I;2013-01-12;H;10;M3;1;2418749;SE10;700;5;C05;2013-01-10;11;;2013-10-29;1;S1;S0;;SOCIALCIRCLE-ENGINEERING;CCROUP1;103;;;;;1;G;SEK;;12,76;1;;;K4;;80.906,49;24.003,67;1245;Y057;;GEL;291;;478;;;A02;;9413;3.681.023,13;167.730,33;1;1,29;16131373;100;2013-01-08;1;160732426;G1;KZ;179.197,65;B1;;3405000;20;166;;;;PL10;1;22;OF1;;555;2013-05-05;SP1;1016020294;;GEL;2013-07-09;LO5;2013-08-06;303.188,12;40.251,59;60.088,64;45.395,68;286.697,51;320201.16;274.894,78;2013-01-27;SD;;;
140500;20;M;I;2013-07-08;L;13;M3;1;2418749;GB10;700;5;C05;2013-01-10;9;;2013-10-29;1;S1;S0;;SOCIALCIRCLE-ENGINEERING;CCROUP1;102;;;;;1;G;SEK;;19,56;1;;;K4;;34.605,95;24.725,10;787;ZRHA;;GEL;291;;478;;;A02;;3113;614.831,49;258.601,54;7;5,78;16131373;100;2013-01-08;1;155156911;G1;KZ;11.976,06;B1;;3405000;40;913;;;;PL10;1;22;OF1;;333;2013-05-05;SP1;1016020294;;GEL;2013-07-09;LO5;2013-08-29;242.441,73;355.763,57;6.876,79;104.190,55;1.802,93;224530.77;360.812,46;2013-04-07;SD;;;
140500;30;KZ;I;2013-07-08;C;11;TO;1;2418749;RO60;600;5;C05;2013-02-28;9;;2013-10-29;1;S3;S0;;SOCIALCIRCLE-ENGINEERING;CCROUP3;104;;DEW;;;1;G;SEK;;6,79;1;;;K4;;185.772,94;102,09;5261;ZTQ2;;GEL;427;;478;;;A02;;6038;2.303.440,06;231.049,53;7;6,12;16131373;102;2013-01-08;1;142168907;G1;KZ;163.161,39;B1;;3405000;50;829;;;;PL10;1;22;OF1;;518;2013-05-05;SP2;1016020294;;GEL;2013-11-17;LO5;2013-08-29;342.007,27;303.160,63;302.009,09;345.506,38;333.402,94;12882.42;345.560,69;2013-10-01;SD;;;
140500;40;KZ;I;2013-06-24;H;14;TO;1;2418749;UA10;400;5;C05;2013-02-28;9;;2013-10-29;1;S3;S0;;SOCIALCIRCLE-ENGINEERING;CCROUP5;;;;;;1;B;SEK;;24,46;1;;;K4;;134.541,64;11.196,43;5008;ZTXR;;GEL;427;;478;;;;;6232;2.764.252,34;87.882,48;3;9,93;16131373;102;2013-01-08;1;142168907;G1;M;285.970,25;B1;;3405000;60;935;;;;PL10;1;22;OF1;;151;2013-05-05;SP9;1016020294;;GEL;2013-11-17;LO5;2013-08-29;286.381,37;397.844,47;374.805,64;105.484,67;191.551,52;133725.14;84.693,67;2013-05-09;SD;;;
140500;50;M;I;2013-06-24;B;12;STD;1;2418749;KZ10;500;5;C05;2013-02-28;5;;2013-10-29;1;S3;S0;;SOCIALCIRCLE-ENGINEERING;CCROUP2;106;;;;;1;B;SEK;;5,83;1;;;K4;;164.406,65;14.701,65;8222;ZBX;;GEL;633;;478;;;;;139;522.295,40;226.728,41;7;4,19;16131373;102;2013-01-08;1;226789158;G1;M;273.070,98;B1;;3405000;80;537;;;;PL10;1;22;OF1;;598;2013-05-05;SP9;1016020294;;GEL;2013-11-17;LO10;2013-08-29;246.135,12;287.822,75;251.740,19;268.237,49;119.489,77;25139.35;44.676,60;2013-04-26;SD;;;
140501;10;KZ;I;2013-06-24;B;5;ST;1;2418800;RU11;200;5;C05;2013-02-28;3;;2013-10-29;1;S3;S0;;CONYERS-REALTY;CCROUP1;102;;;;;1;L;SEK;;7,96;1;;;K4;;276.334,84;38.397,99;7262;ZBXR;;GEL;633;;319;;;;;1219;1.741.798,86;287.044,91;6;8,84;13597347;102;2013-01-08;1;226789158;G1;KZ;159.003,13;B1;;3405002;20;741;;;;RU10;1;;OF1;;499;2013-05-05;SP9;1029968242;KZ;RUB;2013-11-17;LO10;2013-08-29;226.265,61;310.943,03;132.556,96;1.469,60;46.539,84;153962.47;318.797,87;2013-08-14;SD;;;
140502;10;KZ;I;2013-06-24;G;5;M3;1;2418800;GE10;700;5;C05;2013-02-28;6;;2013-10-29;1;S3;S0;;WARRENTON-MOTORSERVICES;CCROUP10;;3;;;;1;C;SEK;;11,27;1;;;K4;;144.972,62;35.246,33;4218;Y047;;GEL;633;;275;;;;;5634;1.493.678,47;378.606,68;9;7,45;11310836;102;2013-01-08;1;226789158;G1;KZ;337.944,53;B1;;3405003;10;362;;;;RU10;1;;OF1;;564;2013-05-05;SP9;1029968242;;RUB;2013-11-17;LO5;2013-08-29;48.275,01;22.150,50;144.393,75;234.334,93;12.419,27;366912.3;316.025,85;2013-04-09;SD;;;
140502;20;KZ;I;2013-04-26;C;14;ST;1;2418800;10;500;5;C05;2013-02-28;7;;2013-10-29;1;S3;S0;;WARRENTON-MOTORSERVICES;CCROUP5;;;;;;1;C;SEK;;5,57;1;;;K4;;267.396,62;33.921,45;9344;Y047;;GEL;586;;275;B12;;803;;114;1.670.228,70;323.022,12;8;3,63;23522006;100;2013-03-05;1;226789158;G1;KZ;79.313,01;B1;;3405003;20;955;;;;RU10;1;;OF1;;700;2013-05-05;SP9;1029968242;;RUB;2013-11-17;LO9;2013-08-29;168.014,41;206.683,62;301.565,26;109.996,55;8.018,32;380914.73;90.598,20;2013-11-26;SD;;;
140503;10;M;I;2013-11-20;C;4;MIN;1;2418478;10;100;5;C05;2013-02-28;11;;2013-09-07;1;S3;S0;;JESUP-FURNISHINGS;CCROUP3;102;;;;;1;C;SEK;;3,52;1;;;K4;;136.049,96;8.166,12;7117;Y047;;GEL;586;;560;;;803;;3267;2.874.356,85;156.657,08;9;3,98;23522006;100;2013-03-05;1;226789158;G1;M;40.533,88;B1;;3405004;10;147;;;;SE10;1;;OF1;;308;2013-05-05;SP9;1025677937;;RUB;2013-11-17;LO9;2013-08-29;394.443,65;350.196,46;136.789,28;308.159,67;69.437,18;345019.46;234.028,68;2013-09-01;SD;;;
140503;20;M;I;2013-11-20;H;1;MIN;1;2418478;UA10;200;5;C05;2013-02-28;8;;2013-09-07;1;S3;S0;;JESUP-FURNISHINGS;CCROUP8;;;;;;1;B;PLN;;8,85;1;;;K4;;254.578,80;37.781,33;5571;ZTAL;;GEL;586;;560;;;803;;8513;3.363.694,86;367.781,58;2;6,20;14342016;100;2013-03-05;1;226789158;G1;M;28.285,10;B1;;3405004;30;419;;;;SE10;1;;OF1;;404;2013-09-10;SP9;1011087854;;RUB;2013-11-17;LO9;2013-08-29;191.948,07;205.296,43;24.554,08;217.618,59;287.828,25;130107.83;145.508,68;2013-05-08;SD;;;
