BILL_NUM;BILL_TYPE;BILL_CAT;BILL_DATE;COMP_CODE;CREATEDON;BIL_H_CNT;GN_CUSTOM;CUST_GROUP;DISTR_CHAN;DOC_CATEG;DOC_CURRCY;EXRATE_ACC;FISCVARNT;GN_R3_SSY;LOC_CURRCY;PAYER;RATE_TYPE;RECORDMODE;SALESEMPLY;SALESORG;SALES_DIST;SOLD_TO;STAT_CURR
140500;M;I;12.01.2013;700;06.08.2013;9;SOCIALCIRCLE-ENGINEERING;C5;1;L;SEK;;K4;;RON;16257677;160732426;;;;1;SP1;PLN
140501;KZ;I;24.06.2013;200;22.11.2013;2;CONYERS-REALTY;C3;1;L;KZT;;K4;;SEK;16257677;226789158;;;;1;SP9;SEK
140502;KZ;I;24.06.2013;700;22.11.2013;8;WARRENTON-MOTORSERVICES;C6;1;C;KZT;;K4;;KZT;16257677;226789158;;;;1;SP9;SEK
140503;M;I;20.11.2013;100;22.11.2013;8;JESUP-FURNISHINGS;C3;1;C;GEL;;K4;;KZT;16257677;226789158;;;;1;SP9;KZT
140504;KZ;I;20.11.2013;200;22.11.2013;9;CHAUNCEY-REALTY;C1;1;C;GEL;;K4;;GEL;21151067;188622513;;;;1;SP2;GEL
140505;KZ;I;25.08.2013;700;22.11.2013;6;MONTICELLO-DEVELOPMENT;C5;1;C;GEL;;K4;;GEL;21151067;168831452;;;;1;SP2;GEL
140506;M;I;25.08.2013;300;22.11.2013;1;OMEGA-TEXTILES;C3;1;C;GEL;;K4;;GEL;21151067;168831452;;;;1;SP2;RON
140507;KZ;I;25.08.2013;400;13.01.2013;1;SENOIA-INDUSTRIES;C6;1;C;GEL;;K4;;GEL;21151067;168831452;;;;1;SP2;GEL
140508;KZ;I;28.01.2013;300;13.01.2013;1;KENNESAW-INSURANCE;C7;1;C;SEK;;K4;;GEL;21873378;155038733;;;;1;SP13;GEL
140509;KZ;I;23.09.2013;100;13.01.2013;4;AUGUSTA-RICHMONDCOUNTY-OFFICESUPPLIES;C5;9;H;SEK;;K4;;SEK;21873378;135026320;;;;1;SP13;KZT
140510;M;I;23.09.2013;700;13.01.2013;5;OCHLOCKNEE-CAFE;C5;1;H;SEK;;K4;;SEK;21873378;151412542;;;;1;SP13;SEK
140511;KZ;I;23.09.2013;700;13.01.2013;1;PERRY-OFFICESUPPLIES;C5;9;H;EUR;;K4;;SEK;21873378;151412542;;;;1;SP13;RON
