header;type;optional;format;change;sfactor;avg;std;max;min;isnumber;distinctvalues
SALES_DOC;string;n;;;;1952366540;7,454491562;1952366540;1952366540;1;360
ITEM;string;n;;0,949129853;10,31034483;10,31034483;34,37511474;;;0;145
MATERIAL;string;n;;0,508701473;22,31343284;22,31343284;95,49981776;;;0;67
MATERIAL_ENTERED;string;n;;0,512717537;19,16666667;19,16666667;87,86534229;;;0;78
MATL_GROUP;string;n;;0,24497992;249,1666667;249,1666667;284,6304134;;;0;6
DESCRIPTION;string;n;;0,840026774;2,763401109;2,763401109;12,21311947;;;0;541
ITCA;string;n;;0,28647925;166,1111111;166,1111111;182,9034016;;;0;9
DLI;string;y;;0,023427041;747,5;747,5;527,5;;;0;2
BILRL;string;y;;0,208165997;498,3333333;498,3333333;310,4452;;;0;3
RJ;string;y;;0,068942436;166,1111111;166,1111111;445,8638169;;;0;9
PRODUCT_HIERARCHY;string;n;;0,564257028;40,40540541;40,40540541;106,8283441;;;0;37
CONVERSION_FACTOR;string;y;;;;1;0;1;1;1;1
BUN;string;n;;0,414993307;498,3333333;498,3333333;260,2003502;;;0;3
POITEM;string;y;;0,143908969;14,8019802;14,8019802;125,5394711;;;0;101
CUSTOMER_MATERIAL_NUMBER;string;y;;0,597054886;5,050675676;5,050675676;35,09486371;;;0;296
USAGE;string;y;;0,198125837;99,66666667;99,66666667;128,977862;;;0;15
OVERDEL_TOL;string;y;;;;4,523913043;1,687504716;10;0;1;10
UNDERDEL_TOL;string;y;;;;4,523913043;1,687504716;10;0;1;10
DV;string;n;;0,242302544;299;299;290,5092081;;;0;5
BUSA;string;n;;0,243641232;9,522292994;9,522292994;11,55412959;;;0;157
PRB;string;y;;0,002008032;747,5;747,5;237,5;;;0;2
NET_VALUE;number;n;#,##0.00;;;5849,420241;38872,81305;1066674;-871,23;1;772
CURR;string;n;;0;1495;1495;0;;;0;1
ORDER_QUANTITY;number;n;#,##0.000;;;76,69937258;383,1365368;7630;0;1;184
REQUIRED_DELIV_QTY;number;n;#,##0.000;;;5,337161204;18,95558757;200;0;1;97
CUMUL_CONFIRMED_QTY;number;n;#,##0.000;;;76,69895786;383,136598;7630;0;1;184
SU;string;n;;0,211512718;498,3333333;498,3333333;406,3498766;;;0;3
GROSS_WEIGHT;number;n;#,##0.000;;;159,2437559;882,6761028;17549;0,001;1;259
NET_WEIGHT;number;n;#,##0.000;;;159,2437559;882,6761028;17549;0,001;1;257
WUN;string;y;;0,210843373;747,5;747,5;258,5;;;0;2
U;string;y;;0,006024096;747,5;747,5;245,5;;;0;2
COMRL;string;y;;0,204149933;747,5;747,5;308,5;;;0;2
DPRIO;string;y;;0,026773762;373,75;373,75;447,1282674;;;0;4
PLNT;string;y;;0,243641232;9,522292994;9,522292994;11,55412959;;;0;157
SHPT;string;y;;0,243641232;9,522292994;9,522292994;11,55412959;;;0;157
ROUTE;string;y;;0,008701473;498,3333333;498,3333333;645,9150271;;;0;3
CREATED_ON;date;n;YYYY-MM-dd;0,65886288;;41631,71906;28,04103904;41653;41333;1;85
CREATED_BY;string;n;;0,236947791;12,05645161;12,05645161;18,9082259;;;0;124
TIME;date;n;HH:mm:ss;;;0,545688011;0,103746849;0,836608796;0,32099537;1;394
BOM_KEY_DT;date;y;YYYY-MM-dd;;;41628,94688;33,68739022;41653;41334;1;92
NET_PRICE;number;n;#,##0.00;;;77,75059532;50,24729085;257,93;0,75;1;370
PER;string;y;;;;6,722408027;17,46654479;60;1;1;2
UOM;string;n;;0,211512718;498,3333333;498,3333333;406,3498766;;;0;3
RET;string;y;;0,049531459;747,5;747,5;673,5;;;0;2
AAG;string;y;;0,245649264;213,5714286;213,5714286;276,0708279;;;0;7
OK;string;y;;0,048192771;747,5;747,5;678,5;;;0;2
COST;number;n;#,##0.00;;;4085,060569;29160,18473;785890;-404;1;797
VALUE_OF_INVGROSS;number;n;#,##0.00;;;836,3279064;6991,865691;184188,2;-10299,45;1;957
VALUE_WO_FREIGHT;number;n;#,##0.00;;;705,7305619;3790,58028;72179,8;-293,32;1;418
VALUE_OF_ALL_BILLS;number;n;#,##0.00;;;0,033110368;6,917768434;87,45;-87,45;1;21
FREIGHT_COST;number;n;#,##0.00;;;5779,751886;38869,77286;1066674;-871,23;1;728
SUBTOTAL_5;number;n;#,##0.00;;;5301,112381;29724,36192;594758,5;-917,49;1;382
