header;type;optional;format;change;sfactor;avg;std;max;min;isnumber;distinctvalues
DELIVERY;string;n;;1;1;1;0;;;0;206
CREATED_BY;string;y;;0,243902439;15,84615385;15,84615385;44,05040147;;;0;13
TIME;date;y;HH:mm:ss;;;0,482354481;0,116392225;0,770914352;0,270590278;1;113
CREATED_ON;date;y;YYYY-MM-dd;;;41623,83495;34,62245066;41643;41334;1;29
SDST;string;y;;0,863414634;2,543209877;2,543209877;3,095394359;;;0;81
SHPT;string;y;;0,848780488;3,029411765;3,029411765;2,985113005;;;0;68
SORG;string;y;;0;206;206;0;;;0;1
DLVTY;string;y;;0;206;206;0;;;0;1
PL_GI_DATE;date;y;YYYY-MM-dd;;;41623,81553;34,6353119;41643;41334;1;30
LOADG_DATE;date;y;YYYY-MM-dd;;;41623,81553;34,6353119;41643;41334;1;30
TRPPLANDT;date;y;YYYY-MM-dd;;;41623,81553;34,6353119;41643;41334;1;30
DELIV_DATE;date;y;YYYY-MM-dd;;;41623,82524;34,63817919;41643;41334;1;30
PICK_DATE;date;y;YYYY-MM-dd;;;41623,81553;34,6353119;41643;41334;1;30
INCOT;string;y;;0,185365854;103;103;67;;;0;2
ROUTE;string;y;;0,195121951;68,66666667;68,66666667;72,55955408;;;0;3
DOCCA;string;y;;0;206;206;0;;;0;1
FACCAL;string;y;;0;206;206;0;;;0;1
DPRIO;string;y;;0,292682927;51,5;51,5;54,13178364;;;0;4
SC;string;y;;0,195121951;68,66666667;68,66666667;72,55955408;;;0;3
SHIP_TO;string;y;;0,863414634;2,395348837;2,395348837;3,035752348;;;0;86
SOLD_TO_PT;string;y;;0,736585366;7,62962963;7,62962963;11,60187772;;;0;27
TOTAL_WEIGHT;number;y;#,##0.000;;;13,43368932;7,710709814;29,94;0,14;1;108
NET_WEIGHT;number;y;#,##0.000;;;13,43368932;7,710709814;29,94;0,14;1;108
WUN;string;y;;0;206;206;0;;;0;1
NOPK;string;y;;0,195121951;103;103;65;;;0;2
AT;date;y;HH:mm:ss;;;0,464962131;0,108626524;0,692465278;0,279178241;1;50
BILLING_DATE;date;y;YYYY-MM-dd;;;41623,81553;34,6353119;41643;41334;1;30
CURR;string;y;;0;206;206;0;;;0;1
SOFF;string;y;;0,468292683;51,5;51,5;23,15707235;;;0;4
COMBINATION_CRITERIA_FOR_DELIVERY;string;y;;0,185365854;68,66666667;68,66666667;46,31294515;;;0;3
CHANGED_BY;string;y;;0,575609756;5,421052632;5,421052632;10,68109885;;;0;38
CHNGD_ON;date;y;YYYY-MM-dd;;;15,96601942;26,58339498;41649;41387;1;12
CCAR;string;y;;0;206;206;0;;;0;1
CRED_ACCT;string;y;;0,736585366;7,62962963;7,62962963;11,60187772;;;0;27
CRED;string;y;;0,443902439;68,66666667;68,66666667;46,52120186;;;0;3
CREDREPGRP;string;y;;0,682926829;20,6;20,6;17,13592717;;;0;10
RISK_CATEGORY;string;y;;0,512195122;68,66666667;68,66666667;39,93606001;;;0;3
DOC_DATE;date;y;YYYY-MM-dd;;;41623,83495;34,62245066;41643;41334;1;29
ACGI_DATE;date;y;YYYY-MM-dd;;;41623,81553;34,6353119;41643;41334;1;30
NET_VALUE;number;y;#,##0.00;;;18,99781553;40,17728729;202,5;0;1;59
PICK_TIME;date;y;HH:mm:ss;;;0,32864583;0,036072696;0,359722222;0;1;4
TP_TIME;date;y;HH:mm:ss;;;0,5;0;;;1;1
LOADG_TIME;date;y;HH:mm:ss;;;0,388229167;0,197453349;0,729166667;0;1;86
GI_TIME;date;y;HH:mm:ss;;;0,165628371;0,219682908;0,675;0;1;46
DISTANCE;number;y;#,##0.000;;;17,25778155;16,36443632;81,264;0;1;86
DIS;string;y;;0,16097561;68,66666667;68,66666667;76,75212628;;;0;3
VEH_PLATE_NO;string;y;;0,965853659;1,560606061;1,560606061;1,024381378;;;0;132
GROSS_WEIGHT_GVM;number;y;#,##0.000;;;26,16096154;12,02124523;44;0;1;75
TARE_WEIGHT;number;y;#,##0.000;;;10,53567308;3,386129837;16;0;1;65
TARECOMPL;string;y;;0,224390244;103;103;38;;;0;2
WEIGHCOMP;string;y;;0,175609756;103;103;1;;;0;2
TIME_TICKET_PRINTED;date;y;HH:mm:ss;;;0,458121966;0,109405546;0,734814815;0,28880787;1;129
USER_NAME;string;y;;0,853658537;2,746666667;2,746666667;2,519753074;;;0;75
WEIGH_BRIDGE_NUMBER;string;y;;0,341463415;41,2;41,2;47,98916544;;;0;5
TERMINAL;string;y;;0,497560976;7,103448276;7,103448276;18,12474937;;;0;29
DRIVER;string;y;;0,96097561;1,622047244;1,622047244;1,156488943;;;0;127
NAWI_SERIAL_NUMBER;string;y;;0,346341463;4,577777778;4,577777778;23,73229294;;;0;45
CONFIRM;string;y;;0,726829268;1,68852459;1,68852459;7,483404554;;;0;122
