header;type;optional;format;change;sfactor;avg;std;max;min;isnumber;distinctvalues
DELIVERY;string;y;;0,592485549;1,684466019;1,684466019;0,725707861;;;0;206
ITEM;string;y;;0,725433526;86,75;86,75;79,58446771;;;0;4
ITCA;string;y;;0,768786127;69,4;69,4;25,31086723;;;0;5
CREATED_BY;string;y;;0,803468208;11,19354839;11,19354839;32,18436743;;;0;31
TIME;date;y;HH:mm:ss;;;0,521995744;0,116968848;0,770914352;0,270590278;1;139
CREATED_ON;date;y;YYYY-MM-dd;;;3,892156;5,05420249;41649;41334;1;38
MATERIAL;string;y;;0,962427746;7,711111111;7,711111111;18,16788647;;;0;45
MATERIAL_ENTERED;string;y;;0,884393064;7,886363636;7,886363636;24,04467046;;;0;44
MATL_GROUP;string;y;;0,789017341;57,83333333;57,83333333;46,96245545;;;0;6
PLNT;string;y;;0,502890173;5,102941176;5,102941176;4,976827793;;;0;68
SLOC;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
CUSTOMER_MATERIAL_NUMBER;string;y;;0,514450867;7,886363636;7,886363636;37,72460971;;;0;44
PRODUCT_HIERARCHY;string;y;;0,930635838;12,39285714;12,39285714;19,94159201;;;0;28
DELIVERY_QUANTITY;number;y;#,##0.000;;;10,27942363;12,64932968;90;0;1;132
BUN;string;y;;0,632947977;86,75;86,75;68,1152516;;;0;4
SU;string;y;;0,398843931;86,75;86,75;59,66311675;;;0;4
GROSS_WEIGHT;number;y;#,##0.000;;;7,975043228;8,881723469;29,94;0;1;109
NET_WEIGHT;number;y;#,##0.000;;;7,975043228;8,881723469;29,94;0;1;109
WUN;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
OVERDEL_TOL;string;y;;;;1,267723343;2,144921749;10;0;1;9
UNDERDEL_TOL;string;y;;;;1,267723343;2,144921749;10;0;1;9
MATAVDT;date;y;YYYY-MM-dd;;;41627,67723;34,09964361;41649;41334;1;38
QTY_STCKPG_UNIT;number;y;#,##0.000;;;10,27942363;12,64932968;90;0;1;132
DESCRIPTION;string;y;;0,971098266;3,47;3,47;9,398356239;;;0;100
SALES_DOC;string;y;;0,869942197;2,753968254;2,753968254;12,5063073;;;0;126
SALES_ITEM;string;y;;0,852601156;9,378378378;9,378378378;25,44453571;;;0;37
U;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
PCKID;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
MVT;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
RQTY;string;y;;0,23699422;173,5;173,5;89,5;;;0;2
PLTYP;string;y;;0,23699422;173,5;173,5;89,5;;;0;2
MTYP;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
RESULTED_FROM_REF;string;y;;0,670520231;173,5;173,5;23,5;;;0;2
TOT;string;y;;0,502890173;173,5;173,5;81,5;;;0;2
AV;string;y;;0;347;347;0;;;0;1
BUSA;string;y;;0,502890173;5,102941176;5,102941176;4,976827793;;;0;68
SOFF;string;y;;0,277456647;86,75;86,75;57,07177499;;;0;4
SGRP;string;y;;0,791907514;86,75;86,75;41,33022502;;;0;4
DCHL;string;y;;0;347;347;0;;;0;1
DV;string;y;;0,748554913;69,4;69,4;49,01265143;;;0;5
S;string;y;;0,606936416;173,5;173,5;51,5;;;0;2
CHNGD_ON;date;y;YYYY-MM-dd;;;41623,95631;34,61457516;41643;41334;1;29
MG_2;string;y;;0,716763006;86,75;86,75;75,72111661;;;0;4
MG_3;string;y;;0,716763006;86,75;86,75;75,72111661;;;0;4
MG_4;string;y;;0,716763006;86,75;86,75;75,72111661;;;0;4
MG_5;string;y;;0,820809249;69,4;69,4;40,75585847;;;0;5
DOCCA;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
COAR;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
PROFIT_CTR;string;y;;0,502890173;4,753424658;4,753424658;4,875942682;;;0;73
REQCL;string;y;;0,359223301;86,75;86,75;39,36607042;;;0;4
CREDIT_ACTIVE;string;y;;0,63583815;173,5;173,5;32,5;;;0;2
CONFIGURATION;string;y;;0,514450867;4,180722892;4,180722892;27,70113502;;;0;83
USAGE;string;y;;0,829479769;26,69230769;26,69230769;33,89890993;;;0;13
PER;string;y;;;;5,760806916;16,09250238;60;1;1;2
UOM;string;y;;0,476878613;86,75;86,75;59,56666434;;;0;4
NET_PRICE;number;y;#,##0.00;;;9,469740634;20,78208101;90;0;1;15
NET_VALUE;number;y;#,##0.00;;;11,27824207;31,75220222;202,5;0;1;61
CURR;string;n;;0;0;0;0;;;0;1
MVT;string;y;;0;347;347;0;;;0;1
MATFRTGP;string;y;;0,751445087;69,4;69,4;49,83813801;;;0;5
STAG_TIME;date;y;HH:mm:ss;;;0,003788425;0,035292168;0,359722222;0;1;4
SPEC_STK_VALUATION;string;y;;0,612716763;115,6666667;115,6666667;81,34835927;;;0;3
SPEC_STOCK_NO;string;y;;0,653179191;3,126126126;3,126126126;21,15797173;;;0;111
CURRENT_QUANTITY;string;y;;0,104046243;173,5;173,5;155,5;;;0;2
SALES_VALUE;number;y;#,##0.00;0;347;0;0;;;1;1
CREDIT_PRICE;number;y;#,##0.00;;;5,114394848;12,97116394;54;0;1;19
NOT_RELEVANT_FOR_WMS;string;y;;0,630057803;173,5;173,5;34,5;;;0;2
